Strain_ID,Pseudomonas_putida_KT2442,Pseudomonas_RDP22,Pseudomonas_RDP27,Pseudomonas_E5,Pseudomonas_RPE1
Pseudomonas_putida_KT2442,NA,0,-1,-2,0
Streptomyces_RCH20P,-3,-2,-5,-4,-2
Ensifer_BM17,-4,-3,-2,-3,-3
Sphingobium_Z2,-3,0,-1,-7,-5
Burkholderia_RCH25,-2,-2,-2,-2,-2
Exiguobacterium_RDH25,-2,2,3,-1,0
Bacillus_SCH24,-5,1,3,-5,0
Cellulosimicrobium_BM1,0,-5,0,-10,-7
Luteibacter_BM7,-7,-3,-1,-6,-7
Chryseobacterium_SCH11,-5,-2,-3,-4,-5
Dyadobacter_BM9,N/A,N/A,N/A,N/A,N/A
Variovax_RPC5,N/A,N/A,N/A,N/A,N/A
Methylobacterium_RPE3,N/A,N/A,N/A,N/A,N/A
Paenibacillus_E12,N/A,N/A,N/A,N/A,N/A
Microbacterium_BM4,N/A,N/A,N/A,N/A,N/A
Massilia_sp,N/A,N/A,N/A,N/A,N/A