Strain ID,KT2442,RDP22,RDP27,E5,RPE1_RP5,PAO1,Pf5,RPA1,BM7,BM12,BM25,R23,S20,BM17,E15,BM23,E4,Z2,RCH3,RP5C,BM21,RCH25,RDH20,RDH25,SCH24,SH11,RCH20P,BM16,R1,RDH1,BM13,BM1,SCH4,RDH6,RP5H,SCH11
KT2442,NA,0,-1,-2,0,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-2,0,0,0,0,0,0,0,0,0,0
RDP22,-4,NA,0,10,5,10,10,7,0,0,0,0,0,-1,-2,0,-2,0,0,0,6,6,10,0,-5,-10,0,0,0,-5,0,2,0,0,0,5
RDP27,-3,0,NA,0,0,0,0,0,0,0,-2,0,0,0,0,0,-2,0,0,-2,0,0,0,0,-3,-5,0,0,0,0,0,0,0,-2,0,0
E5,-2,0,0,NA,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,-2,-3,0,0,0,0,0,0,0,0,0,0,0,-2,0,0
RPE1_RP5,-2,0,-5,-3,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAO1,-3,0,-2,-2,-2,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,-3,0,0,0,-1,0,0,0,0,0,0,0,-1,0,0
Pf5,-2,0,-3,-3,-3,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RPA1,-1,0,-2,-2,0,-3,-2,NA,0,0,0,0,0,0,0,0,-2,0,0,-1,-1,-2,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
BM7,-7,-3,-1,-6,-7,-7,-8,-3,NA,0,-2,0,0,-2,-2,-3,-2,-1,-1,-2,10,10,0,0,0,-2,-2,0,0,-10,3,0,-2,-3,-1,-3
BM12,-7,-3,-8,-8,-8,-10,-10,-10,0,NA,0,0,0,0,-2,-4,-2,0,0,-2,-3,-5,1,0,0,-2,0,0,0,0,0,0,-1,0,0,0
BM25,0,2,3,-3,-2,-3,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R23,-3,0,-5,-6,-6,-8,-7,-6,-1,-1,-1,NA,-2,-6,-6,0,0,-1,-1,-4,-6,-6,2,2,0,-3,-1,-2,-3,-2,0,0,0,-3,0,-2
S20,-2,2,-1,-5,-3,-4,-4,-1,0,0,-1,0,NA,-2,-2,0,0,-1,-1,-3,-2,-2,-1,-1,0,-3,-1,0,-1,-1,0,0,0,-1,-1,0
BM17,-4,-3,-3,-3,-3,-4,-4,0,0,0,-2,0,0,NA,-4,-4,-1,0,0,0,-4,-2,0,0,0,-1,0,0,0,0,0,0,-3,-2,0,1
E15,-6,0,-3,-3,-1,-2,-2,0,0,0,0,0,0,0,NA,-4,-1,0,0,0,-8,-8,0,0,0,0,0,0,0,0,0,0,3,-2,0,2
BM23,-7,-3,-7,-7,-8,-6,-7,-10,0,0,-3,0,0,-3,0,NA,-3,0,0,-10,-10,-10,-1,-1,-3,-2,0,2,0,0,0,0,0,-1,-1,0
E4,0,0,3,3,2,-1,-1,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,-4,0,0,0,0,0,0,0,0,0,0,0
Z2,-3,0,-1,-7,-5,-4,-9,-2,0,0,-2,0,0,2,2,2,0,NA,NA,-1,-3,-3,0,0,0,NA,-1,0,NA,-1,2,0,0,-1,0,0
RCH3,-3,0,-1,-3,-3,-3,-8,-1,0,0,-2,0,0,0,0,0,0,-3,NA,0,-2,-3,2,2,0,-10,0,0,-2,0,0,0,0,-1,0,0
RP5C,-1,7,-1,-5,-7,-4,-4,0,0,0,0,0,3,-10,-2,0,0,0,-3,NA,-4,-4,1,1,-2,-8,-1,0,-2,-1,2,4,0,-2,0,0
BM21,-1,-1,-2,-1,-1,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-4,0,0,0,0,0,0,0,0,0,0,0,-2,0,0
RCH25,-1,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,NA,2,2,0,0,0,0,0,0,4,0,0,0,0,0
RDH20,-1,-3,-7,-10,0,-3,-3,0,0,1,1,0,0,0,0,0,0,0,0,0,-4,-4,NA,-1,-1,-2,0,0,0,0,-1,0,0,-1,0,-1
RDH25,-2,2,3,-1,0,-2,-2,0,0,1,3,1,1,0,0,0,0,1,1,-2,2,2,0,NA,-1,-2,0,0,3,0,0,0,0,0,0,-1
SCH24,-5,1,3,-5,0,-5,-4,0,-5,5,0,2,2,0,-2,0,2,1,2,-9,-7,-6,0,0,NA,-5,0,0,3,-2,0,0,0,2,0,-3
SH11,-1,0,-2,0,0,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,NA,0,0,0,0,0,0,0,0,0,0
RCH20P,-3,-2,-5,-4,-2,-4,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,-5,0,0,0,-10,NA,0,0,0,0,0,0,0,0,0
BM16,-3,-2,-4,-5,-1,-4,-4,-1,0,0,0,0,0,-2,-2,-1,-1,0,0,-2,-3,-2,0,0,-2,-5,-2,NA,0,-3,-1,0,0,-1,0,0
R1,0,0,-3,-10,-4,-8,-10,-1,0,0,0,0,0,-2,-2,4,0,0,0,0,-4,-5,0,0,-5,-4,-3,0,NA,-3,-1,0,0,-2,0,0
RDH1,-5,-2,-4,-5,-4,-7,-7,-2,0,0,0,0,0,0,0,0,0,0,0,0,-6,-6,0,0,-2,-8,0,0,0,NA,0,0,0,-2,0,-5
BM13,-3,-2,-2,-8,-3,-5,-5,0,0,1,-3,0,2,-1,-1,0,-1,2,2,-1,-3,-3,-1,-1,-8,-8,-5,-2,0,-10,NA,0,-2,-1,0,-2
BM1,0,-5,0,-10,-7,-8,-8,-2,0,3,3,0,2,-2,0,0,-1,3,3,0,5,5,0,0,-3,-3,0,0,2,-3,-1,NA,0,-1,0,0
SCH4,-3,-1,-3,-10,-5,-6,-5,0,0,0,1,3,1,-1,0,-2,0,0,0,-3,-5,-5,5,4,-8,-5,-4,0,2,-3,-1,0,NA,-1,0,0
RDH6,-5,-1,-2,-10,-4,-10,-10,-10,0,0,0,0,1,0,0,0,0,2,2,2,0,0,0,0,-8,-5,0,0,0,-3,-2,0,0,NA,0,0
RP5H,-1,0,-4,-10,-6,-10,-10,0,0,0,0,0,0,0,0,0,0,0,0,-3,-6,-6,-3,-3,-8,-10,-10,-1,-3,-10,-4,-2,2,-4,NA,0
SCH11,-5,-2,-3,-4,-5,-5,-5,-1,0,0,-1,0,0,0,0,0,-2,0,0,-1,0,0,4,4,-2,-3,0,0,0,-7,0,0,0,0,0,NA