Strain_ID,Pseudomonas_putida_KT2442,Pseudomonas_E05,Luteibacter_E22,Lysobacter_E23,Stenotrophomonas_R24,Dyella_R26,Enterobacter_R25,Variovorax_R27,Acidovorax_R28,Massilia_S14,Massilia_R31,Ralstonia_R29,Burkholderia_R30,Ensifer_E15,Ensifer_R19,Agrobacterium_E04,Methylobacterium_R20,Sphingobium_R21,Exiguobacterium_R17,Bacillus_S18,Paenibacillus_E12,Nocardioides_E09,Cellulosimicrobium_E16,Micrococcus_S10,Microbacterium_E13,Arthrobacter_R11,Streptomyces_R07,Streptomyces_E08,Hymenobacter_R03,Dyadobacter_E01,Chryseobacterium_S02,Pedobacter_R06
Pseudomonas_putida_KT2442,0,0,0,0,0,0,0,0,0,0,0,1,0,-3,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
Pseudomonas_E05,-2,0,0,0,0,0,0,3,0,8,6,3,-6,0,0,0,0,0,9,-2,10,10,5,0,0,-2,8,10,0,0,0,0
Luteibacter_E22,-1,-1,0,0,0,0,0,0,0,-2,0,-1,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lysobacter_E23,-1,-2,1,0,1,0,-1,0,0,1,1,-2,-4,0,0,0,0,0,0,0,-1,0,0,0,0,-1,-1,0,0,0,0,0
Stenotrophomonas_R24,0,-1,0,-1,-1,0,0,0,0,1,1,0,-2,-1,0,-1,0,0,-1,0,-1,0,0,0,-1,-1,0,0,0,0,0,0
Dyella_R26,-1,-2,0,-1,0,0,0,0,-1,-1,1,-1,-3,-2,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0
Enterobacter_R25,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,2,0,0,0,0
Variovorax_R27,-1,-2,1,6,3,5,-1,-3,0,1,-4,-1,-6,1,2,-3,2,-2,-3,-3,-1,-2,1,-1,-1,-3,1,1,-2,-2,-2,-2
Acidovorax_R28,0,0,0,0,0,0,0,0,NA,-1,-1,-1,-2,-1,0,-1,0,0,0,-5,0,0,0,0,0,-1,0,0,0,0,0,0
Massilia_S14,1,-1,0,0,0,0,0,0,0,0,0,-3,-1,0,0,0,0,0,0,-1,1,0,0,0,0,-2,-1,-1,0,0,0,-1
Massilia_R31,-2,-1,0,0,0,0,0,0,0,-1,-1,-2,-1,0,-1,-2,0,0,0,-2,1,0,-1,-1,0,-3,-1,-1,0,0,0,-1
Ralstonia_R29,-2,-3,-2,0,0,0,-2,3,-3,0,0,0,0,0,0,0,1,0,0,0,-4,-3,-1,0,0,-5,-2,-1,0,0,0,0
Burkholderia_R30,-1,-1,0,0,1,0,0,0,0,-1,0,0,0,-2,-2,0,0,0,0,0,0,0,0,-1,0,-1,-1,-1,0,0,0,0
Ensifer_E15,-2,-3,0,7,7,2,1,0,-2,10,1,-2,-1,3,0,0,5,-2,-1,0,-2,-1,-1,2,3,0,-1,-1,-1,0,0,0
Ensifer_R19,-2,-5,-8,1,1,2,-2,0,3,1,1,3,-3,3,0,-1,0,2,0,-1,-1,0,0,0,1,0,3,-2,0,0,-2,0
Agrobacterium_E04,-1,-2,0,0,1,0,-2,0,0,0,1,0,-3,-2,-2,0,0,0,0,-2,0,-1,0,-1,-2,-1,-2,-1,0,0,0,0
Methylobacterium_R20,0,0,0,-1,-1,0,0,0,0,0,0,-3,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sphingobium_R21,-1,-1,0,-1,0,-1,0,0,0,1,0,0,-2,0,0,0,0,0,0,0,0,0,10,-1,-1,0,0,0,0,0,0,0
Exiguobacterium_R17,-1,-1,0,0,1,0,0,0,-2,1,0,1,0,0,0,0,0,0,0,-2,0,0,0,0,0,-4,-1,1,0,0,0,0
Bacillus_S18,-1,-2,0,0,0,1,-1,0,1,-1,-1,2,-3,0,0,0,0,0,-3,0,0,0,0,0,0,-2,-7,0,0,1,0,-1
Paenibacillus_E12,7,4,4,5,6,3,5,4,6,9,7,6,9,4,4,4,3,7,9,2,3,7,0,4,5,-3,-6,3,3,0,4,5
Nocardioides_E09,-4,-2,0,3,2,0,0,0,0,0,3,-1,-2,1,1,0,1,0,0,-10,0,0,0,-2,-1,-3,-7,0,0,1,0,1
Cellulosimicrobium_E16,0,-4,0,0,0,0,0,0,-2,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,-3,-4,0,0,0,0,0
Micrococcus_S10,0,-2,0,0,0,0,0,0,0,0,0,-2,-3,0,0,0,0,0,0,-4,0,-1,0,0,0,-4,-6,-2,0,0,0,0
Microbacterium_E13,-3,-5,0,1,1,0,-2,1,-4,3,2,-5,-4,0,0,-1,0,-1,0,-4,-1,-3,-1,NA,0,-3,-7,-3,0,0,0,-1
Arthrobacter_R11,0,-1,0,1,0,0,0,0,0,0,0,-1,-1,1,0,0,0,0,0,-3,1,-2,0,0,0,0,-2,-1,0,0,1,0
Streptomyces_R07,-1,-4,0,0,0,1,0,2,0,2,-1,-1,-10,1,1,0,0,0,0,-2,1,0,0,-1,0,-3,0,0,0,0,0,0
Streptomyces_E08,-2,-3,0,0,0,0,0,0,0,0,-4,-1,-8,0,0,0,0,-2,-2,-5,-1,-2,0,-1,0,-2,-3,0,0,0,0,-1
Hymenobacter_R03,-2,-3,0,1,0,0,0,0,0,0,0,-3,-2,0,0,0,0,0,3,0,0,0,5,3,2,-5,-10,0,0,2,2,0
Dyadobacter_E01,0,0,0,0,-2,-1,0,0,0,0,0,-1,-4,0,0,0,0,0,0,0,-1,0,0,0,-1,-1,-6,0,-1,0,-1,0
Chryseobacterium_S02,-1,-1,0,-1,-1,0,0,-2,0,-1,1,0,-1,0,0,0,0,0,-1,-2,3,0,-1,-1,-1,-2,-1,-1,-1,0,0,0
Pedobacter_R06,-2,-1,0,0,0,0,0,0,0,-1,1,-1,-5,0,0,0,0,0,-1,-5,0,-1,0,-1,0,-2,-3,0,0,0,0,0