name,Source
Pseudomonas_putida_KT2442,KT2442
Pseudomonas_E05,E05
Luteibacter_E22,E22
Lysobacter_E23,E23
Stenotrophomonas_R24,R24
Dyella_R26,R26
Enterobacter_R25,R25
Variovorax_R27,R27
Acidovorax_R28,R28
Massilia_S14,S14
Massilia_R31,R31
Ralstonia_R29,R29
Burkholderia_R30,R30
Ensifer_E15,E15
Ensifer_R19,R19
Agrobacterium_E04,E04
Methylobacterium_R20,R20
Sphingobium_R21,R21
Exiguobacterium_R17,R17
Bacillus_S18,S18
Paenibacillus_E12,E12
Nocardioides_E09,E09
Cellulosimicrobium_E16,E16
Micrococcus_S10,S10
Microbacterium_E13,E13
Arthrobacter_R11,R11
Streptomyces_R07,R07
Streptomyces_E08,E08
Hymenobacter_R03,R03
Dyadobacter_E01,E01
Chryseobacterium_S02,S02
Pedobacter_R06,R06