,Strain_ID,name,value MRS,,,,Strain.ID,name,value HB,,,value MRS,value HB
1,Bacillus_SCH24,Bacillus_SCH24,0,,,1,Bacillus_SCH24,Bacillus_SCH24,0,,,0,0
2,Bacillus_SCH24,Burkholderia_RCH25,1,,,2,Bacillus_SCH24,Burkholderia_RCH25,1,,,1,1
3,Bacillus_SCH24,Cellulosimicrobium_BM1,0,,,3,Bacillus_SCH24,Cellulosimicrobium_BM1,0,,,0,0
4,Bacillus_SCH24,Chryseobacterium_SCH11,-1,,,4,Bacillus_SCH24,Chryseobacterium_SCH11,-1,,,-1,-1
5,Bacillus_SCH24,Dyadobacter_BM9,0,,,5,Bacillus_SCH24,Dyadobacter_BM9,0,,,0,0
6,Bacillus_SCH24,Ensifer_BM17,0,,,6,Bacillus_SCH24,Ensifer_sp,0,,,0,0
7,Bacillus_SCH24,Exiguobacterium_RDH25,1,,,7,Bacillus_SCH24,Exiguobacterium_RDH25,0,,,1,0
8,Bacillus_SCH24,Luteibacter_BM7,1,,,8,Bacillus_SCH24,Luteibacter_BM7,0,,,1,0
9,Bacillus_SCH24,Methylobacterium_RPE3,0,,,9,Bacillus_SCH24,Methylobacterium_RPE3,0,,,0,0
10,Bacillus_SCH24,Microbacterium_BM4,0,,,10,Bacillus_SCH24,Microbacterium_BM4,0,,,0,0
11,Bacillus_SCH24,Paenibacillus_E12,1,,,11,Bacillus_SCH24,Paenibacillus_E12,0,,,1,0
12,Bacillus_SCH24,Pseudomonas_putida_KT2442,1,,,12,Bacillus_SCH24,Pseudomonas_putida_KT2442,0,,,1,0
13,Bacillus_SCH24,Sphingobium_Z2,2,,,13,Bacillus_SCH24,Sphingobium_Z2,0,,,2,0
14,Bacillus_SCH24,Streptomyces_RCH20P,-7,,,14,Bacillus_SCH24,Streptomyces_RCH20P,-4,,,-7,-4
15,Bacillus_SCH24,Variovax_RPC5,1,,,15,Bacillus_SCH24,Variovax_RPC5,0,,,1,0
16,Burkholderia_RCH25,Bacillus_SCH24,0,,,16,Burkholderia_RCH25,Bacillus_SCH24,0,,,0,0
17,Burkholderia_RCH25,Burkholderia_RCH25,-1,,,17,Burkholderia_RCH25,Burkholderia_RCH25,-1,,,-1,-1
18,Burkholderia_RCH25,Cellulosimicrobium_BM1,0,,,18,Burkholderia_RCH25,Cellulosimicrobium_BM1,0,,,0,0
19,Burkholderia_RCH25,Chryseobacterium_SCH11,0,,,19,Burkholderia_RCH25,Chryseobacterium_SCH11,0,,,0,0
20,Burkholderia_RCH25,Dyadobacter_BM9,0,,,20,Burkholderia_RCH25,Dyadobacter_BM9,0,,,0,0
21,Burkholderia_RCH25,Ensifer_BM17,0,,,21,Burkholderia_RCH25,Ensifer_sp,0,,,0,0
22,Burkholderia_RCH25,Exiguobacterium_RDH25,0,,,22,Burkholderia_RCH25,Exiguobacterium_RDH25,0,,,0,0
23,Burkholderia_RCH25,Luteibacter_BM7,0,,,23,Burkholderia_RCH25,Luteibacter_BM7,0,,,0,0
24,Burkholderia_RCH25,Methylobacterium_RPE3,2,,,24,Burkholderia_RCH25,Methylobacterium_RPE3,0,,,2,0
25,Burkholderia_RCH25,Microbacterium_BM4,0,,,25,Burkholderia_RCH25,Microbacterium_BM4,0,,,0,0
26,Burkholderia_RCH25,Paenibacillus_E12,1,,,26,Burkholderia_RCH25,Paenibacillus_E12,0,,,1,0
27,Burkholderia_RCH25,Pseudomonas_putida_KT2442,0,,,27,Burkholderia_RCH25,Pseudomonas_putida_KT2442,0,,,0,0
28,Burkholderia_RCH25,Sphingobium_Z2,0,,,28,Burkholderia_RCH25,Sphingobium_Z2,0,,,0,0
29,Burkholderia_RCH25,Streptomyces_RCH20P,0,,,29,Burkholderia_RCH25,Streptomyces_RCH20P,NA,,,0,NA
30,Burkholderia_RCH25,Variovax_RPC5,0,,,30,Burkholderia_RCH25,Variovax_RPC5,-1,,,0,-1
31,Cellulosimicrobium_BM1,Bacillus_SCH24,-3,,,31,Cellulosimicrobium_BM1,Bacillus_SCH24,-4,,,-3,-4
32,Cellulosimicrobium_BM1,Burkholderia_RCH25,-3,,,32,Cellulosimicrobium_BM1,Burkholderia_RCH25,-1,,,-3,-1
33,Cellulosimicrobium_BM1,Cellulosimicrobium_BM1,0,,,33,Cellulosimicrobium_BM1,Cellulosimicrobium_BM1,0,,,0,0
34,Cellulosimicrobium_BM1,Chryseobacterium_SCH11,-1,,,34,Cellulosimicrobium_BM1,Chryseobacterium_SCH11,0,,,-1,0
35,Cellulosimicrobium_BM1,Dyadobacter_BM9,0,,,35,Cellulosimicrobium_BM1,Dyadobacter_BM9,0,,,0,0
36,Cellulosimicrobium_BM1,Ensifer_BM17,0,,,36,Cellulosimicrobium_BM1,Ensifer_sp,0,,,0,0
37,Cellulosimicrobium_BM1,Exiguobacterium_RDH25,0,,,37,Cellulosimicrobium_BM1,Exiguobacterium_RDH25,0,,,0,0
38,Cellulosimicrobium_BM1,Luteibacter_BM7,1,,,38,Cellulosimicrobium_BM1,Luteibacter_BM7,0,,,1,0
39,Cellulosimicrobium_BM1,Methylobacterium_RPE3,0,,,39,Cellulosimicrobium_BM1,Methylobacterium_RPE3,0,,,0,0
40,Cellulosimicrobium_BM1,Microbacterium_BM4,0,,,40,Cellulosimicrobium_BM1,Microbacterium_BM4,0,,,0,0
41,Cellulosimicrobium_BM1,Paenibacillus_E12,-1,,,41,Cellulosimicrobium_BM1,Paenibacillus_E12,-1,,,-1,-1
42,Cellulosimicrobium_BM1,Pseudomonas_putida_KT2442,0,,,42,Cellulosimicrobium_BM1,Pseudomonas_putida_KT2442,0,,,0,0
43,Cellulosimicrobium_BM1,Sphingobium_Z2,0,,,43,Cellulosimicrobium_BM1,Sphingobium_Z2,0,,,0,0
44,Cellulosimicrobium_BM1,Streptomyces_RCH20P,-2,,,44,Cellulosimicrobium_BM1,Streptomyces_RCH20P,-2,,,-2,-2
45,Cellulosimicrobium_BM1,Variovax_RPC5,0,,,45,Cellulosimicrobium_BM1,Variovax_RPC5,0,,,0,0
46,Chryseobacterium_SCH11,Bacillus_SCH24,-1,,,46,Chryseobacterium_SCH11,Bacillus_SCH24,-2,,,-1,-2
47,Chryseobacterium_SCH11,Burkholderia_RCH25,0,,,47,Chryseobacterium_SCH11,Burkholderia_RCH25,0,,,0,0
48,Chryseobacterium_SCH11,Cellulosimicrobium_BM1,0,,,48,Chryseobacterium_SCH11,Cellulosimicrobium_BM1,0,,,0,0
49,Chryseobacterium_SCH11,Chryseobacterium_SCH11,0,,,49,Chryseobacterium_SCH11,Chryseobacterium_SCH11,0,,,0,0
50,Chryseobacterium_SCH11,Dyadobacter_BM9,0,,,50,Chryseobacterium_SCH11,Dyadobacter_BM9,0,,,0,0
51,Chryseobacterium_SCH11,Ensifer_BM17,0,,,51,Chryseobacterium_SCH11,Ensifer_sp,0,,,0,0
52,Chryseobacterium_SCH11,Exiguobacterium_RDH25,0,,,52,Chryseobacterium_SCH11,Exiguobacterium_RDH25,0,,,0,0
53,Chryseobacterium_SCH11,Luteibacter_BM7,0,,,53,Chryseobacterium_SCH11,Luteibacter_BM7,0,,,0,0
54,Chryseobacterium_SCH11,Methylobacterium_RPE3,0,,,54,Chryseobacterium_SCH11,Methylobacterium_RPE3,0,,,0,0
55,Chryseobacterium_SCH11,Microbacterium_BM4,0,,,55,Chryseobacterium_SCH11,Microbacterium_BM4,0,,,0,0
56,Chryseobacterium_SCH11,Paenibacillus_E12,1,,,56,Chryseobacterium_SCH11,Paenibacillus_E12,0,,,1,0
57,Chryseobacterium_SCH11,Pseudomonas_putida_KT2442,0,,,57,Chryseobacterium_SCH11,Pseudomonas_putida_KT2442,0,,,0,0
58,Chryseobacterium_SCH11,Sphingobium_Z2,0,,,58,Chryseobacterium_SCH11,Sphingobium_Z2,0,,,0,0
59,Chryseobacterium_SCH11,Streptomyces_RCH20P,0,,,59,Chryseobacterium_SCH11,Streptomyces_RCH20P,0,,,0,0
60,Chryseobacterium_SCH11,Variovax_RPC5,0,,,60,Chryseobacterium_SCH11,Variovax_RPC5,NA,,,0,NA
61,Dyadobacter_BM9,Bacillus_SCH24,0,,,61,Dyadobacter_BM9,Bacillus_SCH24,-2,,,0,-2
62,Dyadobacter_BM9,Burkholderia_RCH25,-2,,,62,Dyadobacter_BM9,Burkholderia_RCH25,-1,,,-2,-1
63,Dyadobacter_BM9,Cellulosimicrobium_BM1,0,,,63,Dyadobacter_BM9,Cellulosimicrobium_BM1,0,,,0,0
64,Dyadobacter_BM9,Chryseobacterium_SCH11,0,,,64,Dyadobacter_BM9,Chryseobacterium_SCH11,0,,,0,0
65,Dyadobacter_BM9,Dyadobacter_BM9,0,,,65,Dyadobacter_BM9,Dyadobacter_BM9,0,,,0,0
66,Dyadobacter_BM9,Ensifer_BM17,0,,,66,Dyadobacter_BM9,Ensifer_sp,0,,,0,0
67,Dyadobacter_BM9,Exiguobacterium_RDH25,0,,,67,Dyadobacter_BM9,Exiguobacterium_RDH25,0,,,0,0
68,Dyadobacter_BM9,Luteibacter_BM7,0,,,68,Dyadobacter_BM9,Luteibacter_BM7,0,,,0,0
69,Dyadobacter_BM9,Methylobacterium_RPE3,0,,,69,Dyadobacter_BM9,Methylobacterium_RPE3,0,,,0,0
70,Dyadobacter_BM9,Microbacterium_BM4,0,,,70,Dyadobacter_BM9,Microbacterium_BM4,0,,,0,0
71,Dyadobacter_BM9,Paenibacillus_E12,-3,,,71,Dyadobacter_BM9,Paenibacillus_E12,-2,,,-3,-2
72,Dyadobacter_BM9,Pseudomonas_putida_KT2442,0,,,72,Dyadobacter_BM9,Pseudomonas_putida_KT2442,0,,,0,0
73,Dyadobacter_BM9,Sphingobium_Z2,1,,,73,Dyadobacter_BM9,Sphingobium_Z2,0,,,1,0
74,Dyadobacter_BM9,Streptomyces_RCH20P,-3,,,74,Dyadobacter_BM9,Streptomyces_RCH20P,-2,,,-3,-2
75,Dyadobacter_BM9,Variovax_RPC5,2,,,75,Dyadobacter_BM9,Variovax_RPC5,0,,,2,0
76,Ensifer_BM17,Bacillus_SCH24,0,,,76,Ensifer_sp,Bacillus_SCH24,NA,,,0,NA
77,Ensifer_BM17,Burkholderia_RCH25,-1,,,77,Ensifer_sp,Burkholderia_RCH25,-1,,,-1,-1
78,Ensifer_BM17,Cellulosimicrobium_BM1,0,,,78,Ensifer_sp,Cellulosimicrobium_BM1,NA,,,0,NA
79,Ensifer_BM17,Chryseobacterium_SCH11,-10,,,79,Ensifer_sp,Chryseobacterium_SCH11,NA,,,-10,NA
80,Ensifer_BM17,Dyadobacter_BM9,0,,,80,Ensifer_sp,Dyadobacter_BM9,NA,,,0,NA
81,Ensifer_BM17,Ensifer_BM17,1,,,81,Ensifer_sp,Ensifer_sp,0,,,1,0
82,Ensifer_BM17,Exiguobacterium_RDH25,0,,,82,Ensifer_sp,Exiguobacterium_RDH25,0,,,0,0
83,Ensifer_BM17,Luteibacter_BM7,2,,,83,Ensifer_sp,Luteibacter_BM7,0,,,2,0
84,Ensifer_BM17,Methylobacterium_RPE3,0,,,84,Ensifer_sp,Methylobacterium_RPE3,0,,,0,0
85,Ensifer_BM17,Microbacterium_BM4,0,,,85,Ensifer_sp,Microbacterium_BM4,NA,,,0,NA
86,Ensifer_BM17,Paenibacillus_E12,0,,,86,Ensifer_sp,Paenibacillus_E12,NA,,,0,NA
87,Ensifer_BM17,Pseudomonas_putida_KT2442,1,,,87,Ensifer_sp,Pseudomonas_putida_KT2442,1,,,1,1
88,Ensifer_BM17,Sphingobium_Z2,0,,,88,Ensifer_sp,Sphingobium_Z2,0,,,0,0
89,Ensifer_BM17,Streptomyces_RCH20P,0,,,89,Ensifer_sp,Streptomyces_RCH20P,NA,,,0,NA
90,Ensifer_BM17,Variovax_RPC5,2,,,90,Ensifer_sp,Variovax_RPC5,NA,,,2,NA
91,Exiguobacterium_RDH25,Bacillus_SCH24,-3,,,91,Exiguobacterium_RDH25,Bacillus_SCH24,-2,,,-3,-2
92,Exiguobacterium_RDH25,Burkholderia_RCH25,0,,,92,Exiguobacterium_RDH25,Burkholderia_RCH25,0,,,0,0
93,Exiguobacterium_RDH25,Cellulosimicrobium_BM1,0,,,93,Exiguobacterium_RDH25,Cellulosimicrobium_BM1,0,,,0,0
94,Exiguobacterium_RDH25,Chryseobacterium_SCH11,1,,,94,Exiguobacterium_RDH25,Chryseobacterium_SCH11,0,,,1,0
95,Exiguobacterium_RDH25,Dyadobacter_BM9,0,,,95,Exiguobacterium_RDH25,Dyadobacter_BM9,0,,,0,0
96,Exiguobacterium_RDH25,Ensifer_BM17,0,,,96,Exiguobacterium_RDH25,Ensifer_sp,0,,,0,0
97,Exiguobacterium_RDH25,Exiguobacterium_RDH25,-1,,,97,Exiguobacterium_RDH25,Exiguobacterium_RDH25,0,,,-1,0
98,Exiguobacterium_RDH25,Luteibacter_BM7,1,,,98,Exiguobacterium_RDH25,Luteibacter_BM7,0,,,1,0
99,Exiguobacterium_RDH25,Methylobacterium_RPE3,0,,,99,Exiguobacterium_RDH25,Methylobacterium_RPE3,0,,,0,0
100,Exiguobacterium_RDH25,Microbacterium_BM4,0,,,100,Exiguobacterium_RDH25,Microbacterium_BM4,0,,,0,0
101,Exiguobacterium_RDH25,Paenibacillus_E12,0,,,101,Exiguobacterium_RDH25,Paenibacillus_E12,0,,,0,0
102,Exiguobacterium_RDH25,Pseudomonas_putida_KT2442,1,,,102,Exiguobacterium_RDH25,Pseudomonas_putida_KT2442,0,,,1,0
103,Exiguobacterium_RDH25,Sphingobium_Z2,0,,,103,Exiguobacterium_RDH25,Sphingobium_Z2,0,,,0,0
104,Exiguobacterium_RDH25,Streptomyces_RCH20P,-2,,,104,Exiguobacterium_RDH25,Streptomyces_RCH20P,-2,,,-2,-2
105,Exiguobacterium_RDH25,Variovax_RPC5,0,,,105,Exiguobacterium_RDH25,Variovax_RPC5,0,,,0,0
106,Luteibacter_BM7,Bacillus_SCH24,0,,,106,Luteibacter_BM7,Bacillus_SCH24,0,,,0,0
107,Luteibacter_BM7,Burkholderia_RCH25,-1,,,107,Luteibacter_BM7,Burkholderia_RCH25,-2,,,-1,-2
108,Luteibacter_BM7,Cellulosimicrobium_BM1,0,,,108,Luteibacter_BM7,Cellulosimicrobium_BM1,0,,,0,0
109,Luteibacter_BM7,Chryseobacterium_SCH11,1,,,109,Luteibacter_BM7,Chryseobacterium_SCH11,-1,,,1,-1
110,Luteibacter_BM7,Dyadobacter_BM9,0,,,110,Luteibacter_BM7,Dyadobacter_BM9,0,,,0,0
111,Luteibacter_BM7,Ensifer_BM17,0,,,111,Luteibacter_BM7,Ensifer_sp,0,,,0,0
112,Luteibacter_BM7,Exiguobacterium_RDH25,0,,,112,Luteibacter_BM7,Exiguobacterium_RDH25,0,,,0,0
113,Luteibacter_BM7,Luteibacter_BM7,0,,,113,Luteibacter_BM7,Luteibacter_BM7,0,,,0,0
114,Luteibacter_BM7,Methylobacterium_RPE3,0,,,114,Luteibacter_BM7,Methylobacterium_RPE3,0,,,0,0
