,Strain_ID,name,value MRS,,,,Strain.ID,name,value HB,,,value MRS,value HB
115,Luteibacter_BM7,Microbacterium_BM4,0,,,115,Luteibacter_BM7,Microbacterium_BM4,0,,,0,0
116,Luteibacter_BM7,Paenibacillus_E12,-1,,,116,Luteibacter_BM7,Paenibacillus_E12,-1,,,-1,-1
117,Luteibacter_BM7,Pseudomonas_putida_KT2442,0,,,117,Luteibacter_BM7,Pseudomonas_putida_KT2442,-2,,,0,-2
118,Luteibacter_BM7,Sphingobium_Z2,0,,,118,Luteibacter_BM7,Sphingobium_Z2,NA,,,0,NA
119,Luteibacter_BM7,Streptomyces_RCH20P,-2,,,119,Luteibacter_BM7,Streptomyces_RCH20P,NA,,,-2,NA
120,Luteibacter_BM7,Variovax_RPC5,0,,,120,Luteibacter_BM7,Variovax_RPC5,1,,,0,1
121,Methylobacterium_RPE3,Bacillus_SCH24,0,,,121,Methylobacterium_RPE3,Bacillus_SCH24,-10,,,0,-10
122,Methylobacterium_RPE3,Burkholderia_RCH25,-2,,,122,Methylobacterium_RPE3,Burkholderia_RCH25,-4,,,-2,-4
123,Methylobacterium_RPE3,Cellulosimicrobium_BM1,1,,,123,Methylobacterium_RPE3,Cellulosimicrobium_BM1,0,,,1,0
124,Methylobacterium_RPE3,Chryseobacterium_SCH11,3,,,124,Methylobacterium_RPE3,Chryseobacterium_SCH11,0,,,3,0
125,Methylobacterium_RPE3,Dyadobacter_BM9,2,,,125,Methylobacterium_RPE3,Dyadobacter_BM9,0,,,2,0
126,Methylobacterium_RPE3,Ensifer_BM17,0,,,126,Methylobacterium_RPE3,Ensifer_sp,0,,,0,0
127,Methylobacterium_RPE3,Exiguobacterium_RDH25,0,,,127,Methylobacterium_RPE3,Exiguobacterium_RDH25,4,,,0,4
128,Methylobacterium_RPE3,Luteibacter_BM7,2,,,128,Methylobacterium_RPE3,Luteibacter_BM7,0,,,2,0
129,Methylobacterium_RPE3,Methylobacterium_RPE3,0,,,129,Methylobacterium_RPE3,Methylobacterium_RPE3,0,,,0,0
130,Methylobacterium_RPE3,Microbacterium_BM4,0,,,130,Methylobacterium_RPE3,Microbacterium_BM4,0,,,0,0
131,Methylobacterium_RPE3,Paenibacillus_E12,0,,,131,Methylobacterium_RPE3,Paenibacillus_E12,0,,,0,0
132,Methylobacterium_RPE3,Pseudomonas_putida_KT2442,0,,,132,Methylobacterium_RPE3,Pseudomonas_putida_KT2442,0,,,0,0
133,Methylobacterium_RPE3,Sphingobium_Z2,0,,,133,Methylobacterium_RPE3,Sphingobium_Z2,0,,,0,0
134,Methylobacterium_RPE3,Streptomyces_RCH20P,-2,,,134,Methylobacterium_RPE3,Streptomyces_RCH20P,0,,,-2,0
135,Methylobacterium_RPE3,Variovax_RPC5,0,,,135,Methylobacterium_RPE3,Variovax_RPC5,-2,,,0,-2
136,Microbacterium_BM4,Bacillus_SCH24,0,,,136,Microbacterium_BM4,Bacillus_SCH24,NA,,,0,NA
137,Microbacterium_BM4,Burkholderia_RCH25,-2,,,137,Microbacterium_BM4,Burkholderia_RCH25,-2,,,-2,-2
138,Microbacterium_BM4,Cellulosimicrobium_BM1,0,,,138,Microbacterium_BM4,Cellulosimicrobium_BM1,NA,,,0,NA
139,Microbacterium_BM4,Chryseobacterium_SCH11,0,,,139,Microbacterium_BM4,Chryseobacterium_SCH11,NA,,,0,NA
140,Microbacterium_BM4,Dyadobacter_BM9,0,,,140,Microbacterium_BM4,Dyadobacter_BM9,NA,,,0,NA
141,Microbacterium_BM4,Ensifer_BM17,0,,,141,Microbacterium_BM4,Ensifer_sp,-2,,,0,-2
142,Microbacterium_BM4,Exiguobacterium_RDH25,-2,,,142,Microbacterium_BM4,Exiguobacterium_RDH25,NA,,,-2,NA
143,Microbacterium_BM4,Luteibacter_BM7,0,,,143,Microbacterium_BM4,Luteibacter_BM7,0,,,0,0
144,Microbacterium_BM4,Methylobacterium_RPE3,0,,,144,Microbacterium_BM4,Methylobacterium_RPE3,NA,,,0,NA
145,Microbacterium_BM4,Microbacterium_BM4,0,,,145,Microbacterium_BM4,Microbacterium_BM4,NA,,,0,NA
146,Microbacterium_BM4,Paenibacillus_E12,-4,,,146,Microbacterium_BM4,Paenibacillus_E12,NA,,,-4,NA
147,Microbacterium_BM4,Pseudomonas_putida_KT2442,0,,,147,Microbacterium_BM4,Pseudomonas_putida_KT2442,0,,,0,0
148,Microbacterium_BM4,Sphingobium_Z2,0,,,148,Microbacterium_BM4,Sphingobium_Z2,NA,,,0,NA
149,Microbacterium_BM4,Streptomyces_RCH20P,-6,,,149,Microbacterium_BM4,Streptomyces_RCH20P,NA,,,-6,NA
150,Microbacterium_BM4,Variovax_RPC5,0,,,150,Microbacterium_BM4,Variovax_RPC5,NA,,,0,NA
151,Paenibacillus_E12,Bacillus_SCH24,-1,,,151,Paenibacillus_E12,Bacillus_SCH24,-2,,,-1,-2
152,Paenibacillus_E12,Burkholderia_RCH25,0,,,152,Paenibacillus_E12,Burkholderia_RCH25,-1,,,0,-1
153,Paenibacillus_E12,Cellulosimicrobium_BM1,0,,,153,Paenibacillus_E12,Cellulosimicrobium_BM1,0,,,0,0
154,Paenibacillus_E12,Chryseobacterium_SCH11,-2,,,154,Paenibacillus_E12,Chryseobacterium_SCH11,-2,,,-2,-2
155,Paenibacillus_E12,Dyadobacter_BM9,0,,,155,Paenibacillus_E12,Dyadobacter_BM9,0,,,0,0
156,Paenibacillus_E12,Ensifer_BM17,0,,,156,Paenibacillus_E12,Ensifer_sp,0,,,0,0
157,Paenibacillus_E12,Exiguobacterium_RDH25,-1,,,157,Paenibacillus_E12,Exiguobacterium_RDH25,0,,,-1,0
158,Paenibacillus_E12,Luteibacter_BM7,0,,,158,Paenibacillus_E12,Luteibacter_BM7,0,,,0,0
159,Paenibacillus_E12,Methylobacterium_RPE3,0,,,159,Paenibacillus_E12,Methylobacterium_RPE3,0,,,0,0
160,Paenibacillus_E12,Microbacterium_BM4,0,,,160,Paenibacillus_E12,Microbacterium_BM4,0,,,0,0
161,Paenibacillus_E12,Paenibacillus_E12,0,,,161,Paenibacillus_E12,Paenibacillus_E12,-1,,,0,-1
162,Paenibacillus_E12,Pseudomonas_putida_KT2442,0,,,162,Paenibacillus_E12,Pseudomonas_putida_KT2442,0,,,0,0
163,Paenibacillus_E12,Sphingobium_Z2,0,,,163,Paenibacillus_E12,Sphingobium_Z2,0,,,0,0
164,Paenibacillus_E12,Streptomyces_RCH20P,-4,,,164,Paenibacillus_E12,Streptomyces_RCH20P,-4,,,-4,-4
165,Paenibacillus_E12,Variovax_RPC5,0,,,165,Paenibacillus_E12,Variovax_RPC5,0,,,0,0
166,Pseudomonas_putida_KT2442,Bacillus_SCH24,0,,,166,Pseudomonas_putida_KT2442,Bacillus_SCH24,0,,,0,0
167,Pseudomonas_putida_KT2442,Burkholderia_RCH25,-1,,,167,Pseudomonas_putida_KT2442,Burkholderia_RCH25,0,,,-1,0
168,Pseudomonas_putida_KT2442,Cellulosimicrobium_BM1,0,,,168,Pseudomonas_putida_KT2442,Cellulosimicrobium_BM1,0,,,0,0
169,Pseudomonas_putida_KT2442,Chryseobacterium_SCH11,0,,,169,Pseudomonas_putida_KT2442,Chryseobacterium_SCH11,0,,,0,0
170,Pseudomonas_putida_KT2442,Dyadobacter_BM9,0,,,170,Pseudomonas_putida_KT2442,Dyadobacter_BM9,0,,,0,0
171,Pseudomonas_putida_KT2442,Ensifer_BM17,0,,,171,Pseudomonas_putida_KT2442,Ensifer_sp,0,,,0,0
172,Pseudomonas_putida_KT2442,Exiguobacterium_RDH25,0,,,172,Pseudomonas_putida_KT2442,Exiguobacterium_RDH25,0,,,0,0
173,Pseudomonas_putida_KT2442,Luteibacter_BM7,1,,,173,Pseudomonas_putida_KT2442,Luteibacter_BM7,1,,,1,1
174,Pseudomonas_putida_KT2442,Methylobacterium_RPE3,0,,,174,Pseudomonas_putida_KT2442,Methylobacterium_RPE3,0,,,0,0
175,Pseudomonas_putida_KT2442,Microbacterium_BM4,0,,,175,Pseudomonas_putida_KT2442,Microbacterium_BM4,0,,,0,0
176,Pseudomonas_putida_KT2442,Paenibacillus_E12,0,,,176,Pseudomonas_putida_KT2442,Paenibacillus_E12,0,,,0,0
177,Pseudomonas_putida_KT2442,Pseudomonas_putida_KT2442,0,,,177,Pseudomonas_putida_KT2442,Pseudomonas_putida_KT2442,0,,,0,0
178,Pseudomonas_putida_KT2442,Sphingobium_Z2,0,,,178,Pseudomonas_putida_KT2442,Sphingobium_Z2,0,,,0,0
179,Pseudomonas_putida_KT2442,Streptomyces_RCH20P,0,,,179,Pseudomonas_putida_KT2442,Streptomyces_RCH20P,NA,,,0,NA
180,Pseudomonas_putida_KT2442,Variovax_RPC5,1,,,180,Pseudomonas_putida_KT2442,Variovax_RPC5,-1,,,1,-1
181,Sphingobium_Z2,Bacillus_SCH24,0,,,181,Sphingobium_Z2,Bacillus_SCH24,-6,,,0,-6
182,Sphingobium_Z2,Burkholderia_RCH25,-2,,,182,Sphingobium_Z2,Burkholderia_RCH25,-2,,,-2,-2
183,Sphingobium_Z2,Cellulosimicrobium_BM1,0,,,183,Sphingobium_Z2,Cellulosimicrobium_BM1,0,,,0,0
184,Sphingobium_Z2,Chryseobacterium_SCH11,-1,,,184,Sphingobium_Z2,Chryseobacterium_SCH11,0,,,-1,0
185,Sphingobium_Z2,Dyadobacter_BM9,0,,,185,Sphingobium_Z2,Dyadobacter_BM9,0,,,0,0
186,Sphingobium_Z2,Ensifer_BM17,0,,,186,Sphingobium_Z2,Ensifer_sp,-2,,,0,-2
187,Sphingobium_Z2,Exiguobacterium_RDH25,-1,,,187,Sphingobium_Z2,Exiguobacterium_RDH25,0,,,-1,0
188,Sphingobium_Z2,Luteibacter_BM7,0,,,188,Sphingobium_Z2,Luteibacter_BM7,0,,,0,0
189,Sphingobium_Z2,Methylobacterium_RPE3,0,,,189,Sphingobium_Z2,Methylobacterium_RPE3,0,,,0,0
190,Sphingobium_Z2,Microbacterium_BM4,0,,,190,Sphingobium_Z2,Microbacterium_BM4,0,,,0,0
191,Sphingobium_Z2,Paenibacillus_E12,-1,,,191,Sphingobium_Z2,Paenibacillus_E12,-1,,,-1,-1
192,Sphingobium_Z2,Pseudomonas_putida_KT2442,0,,,192,Sphingobium_Z2,Pseudomonas_putida_KT2442,0,,,0,0
193,Sphingobium_Z2,Sphingobium_Z2,0,,,193,Sphingobium_Z2,Sphingobium_Z2,0,,,0,0
194,Sphingobium_Z2,Streptomyces_RCH20P,-2,,,194,Sphingobium_Z2,Streptomyces_RCH20P,-1,,,-2,-1
195,Sphingobium_Z2,Variovax_RPC5,0,,,195,Sphingobium_Z2,Variovax_RPC5,0,,,0,0
196,Streptomyces_RCH20P,Bacillus_SCH24,1,,,196,Streptomyces_RCH20P,Bacillus_SCH24,-2,,,1,-2
197,Streptomyces_RCH20P,Burkholderia_RCH25,-8,,,197,Streptomyces_RCH20P,Burkholderia_RCH25,-4,,,-8,-4
198,Streptomyces_RCH20P,Cellulosimicrobium_BM1,1,,,198,Streptomyces_RCH20P,Cellulosimicrobium_BM1,0,,,1,0
199,Streptomyces_RCH20P,Chryseobacterium_SCH11,-1,,,199,Streptomyces_RCH20P,Chryseobacterium_SCH11,0,,,-1,0
200,Streptomyces_RCH20P,Dyadobacter_BM9,0,,,200,Streptomyces_RCH20P,Dyadobacter_BM9,0,,,0,0
201,Streptomyces_RCH20P,Ensifer_BM17,0,,,201,Streptomyces_RCH20P,Ensifer_sp,0,,,0,0
202,Streptomyces_RCH20P,Exiguobacterium_RDH25,0,,,202,Streptomyces_RCH20P,Exiguobacterium_RDH25,0,,,0,0
203,Streptomyces_RCH20P,Luteibacter_BM7,1,,,203,Streptomyces_RCH20P,Luteibacter_BM7,0,,,1,0
204,Streptomyces_RCH20P,Methylobacterium_RPE3,0,,,204,Streptomyces_RCH20P,Methylobacterium_RPE3,0,,,0,0
205,Streptomyces_RCH20P,Microbacterium_BM4,0,,,205,Streptomyces_RCH20P,Microbacterium_BM4,0,,,0,0
206,Streptomyces_RCH20P,Paenibacillus_E12,1,,,206,Streptomyces_RCH20P,Paenibacillus_E12,0,,,1,0
207,Streptomyces_RCH20P,Pseudomonas_putida_KT2442,1,,,207,Streptomyces_RCH20P,Pseudomonas_putida_KT2442,-2,,,1,-2
208,Streptomyces_RCH20P,Sphingobium_Z2,0,,,208,Streptomyces_RCH20P,Sphingobium_Z2,0,,,0,0
209,Streptomyces_RCH20P,Streptomyces_RCH20P,0,,,209,Streptomyces_RCH20P,Streptomyces_RCH20P,0,,,0,0
210,Streptomyces_RCH20P,Variovax_RPC5,0,,,210,Streptomyces_RCH20P,Variovax_RPC5,0,,,0,0
211,Variovax_RPC5,Bacillus_SCH24,-2,,,211,Variovax_RPC5,Bacillus_SCH24,-6,,,-2,-6
212,Variovax_RPC5,Burkholderia_RCH25,-1,,,212,Variovax_RPC5,Burkholderia_RCH25,-3,,,-1,-3
213,Variovax_RPC5,Cellulosimicrobium_BM1,0,,,213,Variovax_RPC5,Cellulosimicrobium_BM1,0,,,0,0
214,Variovax_RPC5,Chryseobacterium_SCH11,0,,,214,Variovax_RPC5,Chryseobacterium_SCH11,0,,,0,0
215,Variovax_RPC5,Dyadobacter_BM9,2,,,215,Variovax_RPC5,Dyadobacter_BM9,0,,,2,0
216,Variovax_RPC5,Ensifer_BM17,0,,,216,Variovax_RPC5,Ensifer_sp,0,,,0,0
217,Variovax_RPC5,Exiguobacterium_RDH25,0,,,217,Variovax_RPC5,Exiguobacterium_RDH25,0,,,0,0
218,Variovax_RPC5,Luteibacter_BM7,1,,,218,Variovax_RPC5,Luteibacter_BM7,0,,,1,0
219,Variovax_RPC5,Methylobacterium_RPE3,0,,,219,Variovax_RPC5,Methylobacterium_RPE3,0,,,0,0
220,Variovax_RPC5,Microbacterium_BM4,0,,,220,Variovax_RPC5,Microbacterium_BM4,0,,,0,0
221,Variovax_RPC5,Paenibacillus_E12,-1,,,221,Variovax_RPC5,Paenibacillus_E12,-1,,,-1,-1
222,Variovax_RPC5,Pseudomonas_putida_KT2442,0,,,222,Variovax_RPC5,Pseudomonas_putida_KT2442,0,,,0,0
223,Variovax_RPC5,Sphingobium_Z2,0,,,223,Variovax_RPC5,Sphingobium_Z2,0,,,0,0
224,Variovax_RPC5,Streptomyces_RCH20P,0,,,224,Variovax_RPC5,Streptomyces_RCH20P,NA,,,0,NA
225,Variovax_RPC5,Variovax_RPC5,0,,,225,Variovax_RPC5,Variovax_RPC5,0,,,0,0