"","Strain_ID","name","value","Lawn","Spot","MediaTime","Media","Fe","Time","Dataset"
"1","Pseudomonas_putida_KT2442","Pseudomonas_putida_KT2442",0,"Pseudomonas_putida_KT2442","Pseudomonas_putida_KT2442","1/2 TSA + Fe, 96h","1/2 TSA","+ FeCl3","96h","Marissa"
"2","Pseudomonas_putida_KT2442","Burkholderia_RCH25",-1,"Pseudomonas_putida_KT2442","Burkholderia_RCH25","1/2 TSA + Fe, 96h","1/2 TSA","+ FeCl3","96h","Marissa"
"3","Pseudomonas_putida_KT2442","Streptomyces_RCH20P",0,"Pseudomonas_putida_KT2442","Streptomyces_RCH20P","1/2 TSA + Fe, 96h","1/2 TSA","+ FeCl3","96h","Marissa"
"4","Pseudomonas_putida_KT2442","Variovax_RPC5",1,"Pseudomonas_putida_KT2442","Variovax_RPC5","1/2 TSA + Fe, 96h","1/2 TSA","+ FeCl3","96h","Marissa"
"5","Pseudomonas_putida_KT2442","Methylobacterium_RPE3",0,"Pseudomonas_putida_KT2442","Methylobacterium_RPE3","1/2 TSA + Fe, 96h","1/2 TSA","+ FeCl3","96h","Marissa"
"6","Pseudomonas_putida_KT2442","Chryseobacterium_SCH11",0,"Pseudomonas_putida_KT2442","Chryseobacterium_SCH11","1/2 TSA + Fe, 96h","1/2 TSA","+ FeCl3","96h","Marissa"
"7","Pseudomonas_putida_KT2442","Dyadobacter_BM9",0,"Pseudomonas_putida_KT2442","Dyadobacter_BM9","1/2 TSA + Fe, 96h","1/2 TSA","+ FeCl3","96h","Marissa"
"8","Pseudomonas_putida_KT2442","Exiguobacterium_RDH25",0,"Pseudomonas_putida_KT2442","Exiguobacterium_RDH25","1/2 TSA + Fe, 96h","1/2 TSA","+ FeCl3","96h","Marissa"
"9","Pseudomonas_putida_KT2442","Bacillus_SCH24",0,"Pseudomonas_putida_KT2442","Bacillus_SCH24","1/2 TSA + Fe, 96h","1/2 TSA","+ FeCl3","96h","Marissa"
"10","Pseudomonas_putida_KT2442","Paenibacillus_E12",0,"Pseudomonas_putida_KT2442","Paenibacillus_E12","1/2 TSA + Fe, 96h","1/2 TSA","+ FeCl3","96h","Marissa"
"11","Pseudomonas_putida_KT2442","Sphingobium_Z2",0,"Pseudomonas_putida_KT2442","Sphingobium_Z2","1/2 TSA + Fe, 96h","1/2 TSA","+ FeCl3","96h","Marissa"
"12","Pseudomonas_putida_KT2442","Cellulosimicrobium_BM1",0,"Pseudomonas_putida_KT2442","Cellulosimicrobium_BM1","1/2 TSA + Fe, 96h","1/2 TSA","+ FeCl3","96h","Marissa"
"13","Pseudomonas_putida_KT2442","Microbacterium_BM4",0,"Pseudomonas_putida_KT2442","Microbacterium_BM4","1/2 TSA + Fe, 96h","1/2 TSA","+ FeCl3","96h","Marissa"
"14","Pseudomonas_putida_KT2442","Luteibacter_BM7",1,"Pseudomonas_putida_KT2442","Luteibacter_BM7","1/2 TSA + Fe, 96h","1/2 TSA","+ FeCl3","96h","Marissa"
"15","Pseudomonas_putida_KT2442","Ensifer_sp",0,"Pseudomonas_putida_KT2442","Ensifer_sp","1/2 TSA + Fe, 96h","1/2 TSA","+ FeCl3","96h","Marissa"
"16","Burkholderia_RCH25","Pseudomonas_putida_KT2442",0,"Burkholderia_RCH25","Pseudomonas_putida_KT2442","1/2 TSA + Fe, 96h","1/2 TSA","+ FeCl3","96h","Marissa"
"17","Burkholderia_RCH25","Burkholderia_RCH25",-1,"Burkholderia_RCH25","Burkholderia_RCH25","1/2 TSA + Fe, 96h","1/2 TSA","+ FeCl3","96h","Marissa"
"18","Burkholderia_RCH25","Streptomyces_RCH20P",0,"Burkholderia_RCH25","Streptomyces_RCH20P","1/2 TSA + Fe, 96h","1/2 TSA","+ FeCl3","96h","Marissa"
"19","Burkholderia_RCH25","Variovax_RPC5",0,"Burkholderia_RCH25","Variovax_RPC5","1/2 TSA + Fe, 96h","1/2 TSA","+ FeCl3","96h","Marissa"
"20","Burkholderia_RCH25","Methylobacterium_RPE3",2,"Burkholderia_RCH25","Methylobacterium_RPE3","1/2 TSA + Fe, 96h","1/2 TSA","+ FeCl3","96h","Marissa"
"21","Burkholderia_RCH25","Chryseobacterium_SCH11",0,"Burkholderia_RCH25","Chryseobacterium_SCH11","1/2 TSA + Fe, 96h","1/2 TSA","+ FeCl3","96h","Marissa"
"22","Burkholderia_RCH25","Dyadobacter_BM9",0,"Burkholderia_RCH25","Dyadobacter_BM9","1/2 TSA + Fe, 96h","1/2 TSA","+ FeCl3","96h","Marissa"
"23","Burkholderia_RCH25","Exiguobacterium_RDH25",0,"Burkholderia_RCH25","Exiguobacterium_RDH25","1/2 TSA + Fe, 96h","1/2 TSA","+ FeCl3","96h","Marissa"
"24","Burkholderia_RCH25","Bacillus_SCH24",0,"Burkholderia_RCH25","Bacillus_SCH24","1/2 TSA + Fe, 96h","1/2 TSA","+ FeCl3","96h","Marissa"
"25","Burkholderia_RCH25","Paenibacillus_E12",1,"Burkholderia_RCH25","Paenibacillus_E12","1/2 TSA + Fe, 96h","1/2 TSA","+ FeCl3","96h","Marissa"
"26","Burkholderia_RCH25","Sphingobium_Z2",0,"Burkholderia_RCH25","Sphingobium_Z2","1/2 TSA + Fe, 96h","1/2 TSA","+ FeCl3","96h","Marissa"
"27","Burkholderia_RCH25","Cellulosimicrobium_BM1",0,"Burkholderia_RCH25","Cellulosimicrobium_BM1","1/2 TSA + Fe, 96h","1/2 TSA","+ FeCl3","96h","Marissa"
"28","Burkholderia_RCH25","Microbacterium_BM4",0,"Burkholderia_RCH25","Microbacterium_BM4","1/2 TSA + Fe, 96h","1/2 TSA","+ FeCl3","96h","Marissa"
"29","Burkholderia_RCH25","Luteibacter_BM7",0,"Burkholderia_RCH25","Luteibacter_BM7","1/2 TSA + Fe, 96h","1/2 TSA","+ FeCl3","96h","Marissa"
"30","Burkholderia_RCH25","Ensifer_sp",0,"Burkholderia_RCH25","Ensifer_sp","1/2 TSA + Fe, 96h","1/2 TSA","+ FeCl3","96h","Marissa"
"31","Streptomyces_RCH20P","Pseudomonas_putida_KT2442",1,"Streptomyces_RCH20P","Pseudomonas_putida_KT2442","1/2 TSA + Fe, 96h","1/2 TSA","+ FeCl3","96h","Marissa"
"32","Streptomyces_RCH20P","Burkholderia_RCH25",-8,"Streptomyces_RCH20P","Burkholderia_RCH25","1/2 TSA + Fe, 96h","1/2 TSA","+ FeCl3","96h","Marissa"
"33","Streptomyces_RCH20P","Streptomyces_RCH20P",0,"Streptomyces_RCH20P","Streptomyces_RCH20P","1/2 TSA + Fe, 96h","1/2 TSA","+ FeCl3","96h","Marissa"
"34","Streptomyces_RCH20P","Variovax_RPC5",0,"Streptomyces_RCH20P","Variovax_RPC5","1/2 TSA + Fe, 96h","1/2 TSA","+ FeCl3","96h","Marissa"
"35","Streptomyces_RCH20P","Methylobacterium_RPE3",0,"Streptomyces_RCH20P","Methylobacterium_RPE3","1/2 TSA + Fe, 96h","1/2 TSA","+ FeCl3","96h","Marissa"
"36","Streptomyces_RCH20P","Chryseobacterium_SCH11",-1,"Streptomyces_RCH20P","Chryseobacterium_SCH11","1/2 TSA + Fe, 96h","1/2 TSA","+ FeCl3","96h","Marissa"
"37","Streptomyces_RCH20P","Dyadobacter_BM9",0,"Streptomyces_RCH20P","Dyadobacter_BM9","1/2 TSA + Fe, 96h","1/2 TSA","+ FeCl3","96h","Marissa"
"38","Streptomyces_RCH20P","Exiguobacterium_RDH25",0,"Streptomyces_RCH20P","Exiguobacterium_RDH25","1/2 TSA + Fe, 96h","1/2 TSA","+ FeCl3","96h","Marissa"
"39","Streptomyces_RCH20P","Bacillus_SCH24",1,"Streptomyces_RCH20P","Bacillus_SCH24","1/2 TSA + Fe, 96h","1/2 TSA","+ FeCl3","96h","Marissa"
"40","Streptomyces_RCH20P","Paenibacillus_E12",1,"Streptomyces_RCH20P","Paenibacillus_E12","1/2 TSA + Fe, 96h","1/2 TSA","+ FeCl3","96h","Marissa"
"41","Streptomyces_RCH20P","Sphingobium_Z2",0,"Streptomyces_RCH20P","Sphingobium_Z2","1/2 TSA + Fe, 96h","1/2 TSA","+ FeCl3","96h","Marissa"
"42","Streptomyces_RCH20P","Cellulosimicrobium_BM1",1,"Streptomyces_RCH20P","Cellulosimicrobium_BM1","1/2 TSA + Fe, 96h","1/2 TSA","+ FeCl3","96h","Marissa"
"43","Streptomyces_RCH20P","Microbacterium_BM4",0,"Streptomyces_RCH20P","Microbacterium_BM4","1/2 TSA + Fe, 96h","1/2 TSA","+ FeCl3","96h","Marissa"
"44","Streptomyces_RCH20P","Luteibacter_BM7",1,"Streptomyces_RCH20P","Luteibacter_BM7","1/2 TSA + Fe, 96h","1/2 TSA","+ FeCl3","96h","Marissa"
"45","Streptomyces_RCH20P","Ensifer_sp",0,"Streptomyces_RCH20P","Ensifer_sp","1/2 TSA + Fe, 96h","1/2 TSA","+ FeCl3","96h","Marissa"
"46","Variovax_RPC5","Pseudomonas_putida_KT2442",0,"Variovax_RPC5","Pseudomonas_putida_KT2442","1/2 TSA + Fe, 96h","1/2 TSA","+ FeCl3","96h","Marissa"
"47","Variovax_RPC5","Burkholderia_RCH25",-1,"Variovax_RPC5","Burkholderia_RCH25","1/2 TSA + Fe, 96h","1/2 TSA","+ FeCl3","96h","Marissa"
"48","Variovax_RPC5","Streptomyces_RCH20P",0,"Variovax_RPC5","Streptomyces_RCH20P","1/2 TSA + Fe, 96h","1/2 TSA","+ FeCl3","96h","Marissa"
"49","Variovax_RPC5","Variovax_RPC5",0,"Variovax_RPC5","Variovax_RPC5","1/2 TSA + Fe, 96h","1/2 TSA","+ FeCl3","96h","Marissa"
"50","Variovax_RPC5","Methylobacterium_RPE3",0,"Variovax_RPC5","Methylobacterium_RPE3","1/2 TSA + Fe, 96h","1/2 TSA","+ FeCl3","96h","Marissa"
"51","Variovax_RPC5","Chryseobacterium_SCH11",0,"Variovax_RPC5","Chryseobacterium_SCH11","1/2 TSA + Fe, 96h","1/2 TSA","+ FeCl3","96h","Marissa"
"52","Variovax_RPC5","Dyadobacter_BM9",2,"Variovax_RPC5","Dyadobacter_BM9","1/2 TSA + Fe, 96h","1/2 TSA","+ FeCl3","96h","Marissa"
"53","Variovax_RPC5","Exiguobacterium_RDH25",0,"Variovax_RPC5","Exiguobacterium_RDH25","1/2 TSA + Fe, 96h","1/2 TSA","+ FeCl3","96h","Marissa"
"54","Variovax_RPC5","Bacillus_SCH24",-2,"Variovax_RPC5","Bacillus_SCH24","1/2 TSA + Fe, 96h","1/2 TSA","+ FeCl3","96h","Marissa"
"55","Variovax_RPC5","Paenibacillus_E12",-1,"Variovax_RPC5","Paenibacillus_E12","1/2 TSA + Fe, 96h","1/2 TSA","+ FeCl3","96h","Marissa"
"56","Variovax_RPC5","Sphingobium_Z2",0,"Variovax_RPC5","Sphingobium_Z2","1/2 TSA + Fe, 96h","1/2 TSA","+ FeCl3","96h","Marissa"
"57","Variovax_RPC5","Cellulosimicrobium_BM1",0,"Variovax_RPC5","Cellulosimicrobium_BM1","1/2 TSA + Fe, 96h","1/2 TSA","+ FeCl3","96h","Marissa"
"58","Variovax_RPC5","Microbacterium_BM4",0,"Variovax_RPC5","Microbacterium_BM4","1/2 TSA + Fe, 96h","1/2 TSA","+ FeCl3","96h","Marissa"
"59","Variovax_RPC5","Luteibacter_BM7",1,"Variovax_RPC5","Luteibacter_BM7","1/2 TSA + Fe, 96h","1/2 TSA","+ FeCl3","96h","Marissa"
"60","Variovax_RPC5","Ensifer_sp",0,"Variovax_RPC5","Ensifer_sp","1/2 TSA + Fe, 96h","1/2 TSA","+ FeCl3","96h","Marissa"
"61","Methylobacterium_RPE3","Pseudomonas_putida_KT2442",0,"Methylobacterium_RPE3","Pseudomonas_putida_KT2442","1/2 TSA + Fe, 96h","1/2 TSA","+ FeCl3","96h","Marissa"
"62","Methylobacterium_RPE3","Burkholderia_RCH25",-2,"Methylobacterium_RPE3","Burkholderia_RCH25","1/2 TSA + Fe, 96h","1/2 TSA","+ FeCl3","96h","Marissa"
"63","Methylobacterium_RPE3","Streptomyces_RCH20P",-2,"Methylobacterium_RPE3","Streptomyces_RCH20P","1/2 TSA + Fe, 96h","1/2 TSA","+ FeCl3","96h","Marissa"
"64","Methylobacterium_RPE3","Variovax_RPC5",0,"Methylobacterium_RPE3","Variovax_RPC5","1/2 TSA + Fe, 96h","1/2 TSA","+ FeCl3","96h","Marissa"
"65","Methylobacterium_RPE3","Methylobacterium_RPE3",0,"Methylobacterium_RPE3","Methylobacterium_RPE3","1/2 TSA + Fe, 96h","1/2 TSA","+ FeCl3","96h","Marissa"
"66","Methylobacterium_RPE3","Chryseobacterium_SCH11",3,"Methylobacterium_RPE3","Chryseobacterium_SCH11","1/2 TSA + Fe, 96h","1/2 TSA","+ FeCl3","96h","Marissa"
"67","Methylobacterium_RPE3","Dyadobacter_BM9",2,"Methylobacterium_RPE3","Dyadobacter_BM9","1/2 TSA + Fe, 96h","1/2 TSA","+ FeCl3","96h","Marissa"
"68","Methylobacterium_RPE3","Exiguobacterium_RDH25",0,"Methylobacterium_RPE3","Exiguobacterium_RDH25","1/2 TSA + Fe, 96h","1/2 TSA","+ FeCl3","96h","Marissa"
"69","Methylobacterium_RPE3","Bacillus_SCH24",0,"Methylobacterium_RPE3","Bacillus_SCH24","1/2 TSA + Fe, 96h","1/2 TSA","+ FeCl3","96h","Marissa"
"70","Methylobacterium_RPE3","Paenibacillus_E12",0,"Methylobacterium_RPE3","Paenibacillus_E12","1/2 TSA + Fe, 96h","1/2 TSA","+ FeCl3","96h","Marissa"
"71","Methylobacterium_RPE3","Sphingobium_Z2",0,"Methylobacterium_RPE3","Sphingobium_Z2","1/2 TSA + Fe, 96h","1/2 TSA","+ FeCl3","96h","Marissa"
"72","Methylobacterium_RPE3","Cellulosimicrobium_BM1",1,"Methylobacterium_RPE3","Cellulosimicrobium_BM1","1/2 TSA + Fe, 96h","1/2 TSA","+ FeCl3","96h","Marissa"
"73","Methylobacterium_RPE3","Microbacterium_BM4",0,"Methylobacterium_RPE3","Microbacterium_BM4","1/2 TSA + Fe, 96h","1/2 TSA","+ FeCl3","96h","Marissa"
"74","Methylobacterium_RPE3","Luteibacter_BM7",2,"Methylobacterium_RPE3","Luteibacter_BM7","1/2 TSA + Fe, 96h","1/2 TSA","+ FeCl3","96h","Marissa"
"75","Methylobacterium_RPE3","Ensifer_sp",0,"Methylobacterium_RPE3","Ensifer_sp","1/2 TSA + Fe, 96h","1/2 TSA","+ FeCl3","96h","Marissa"
"76","Chryseobacterium_SCH11","Pseudomonas_putida_KT2442",0,"Chryseobacterium_SCH11","Pseudomonas_putida_KT2442","1/2 TSA + Fe, 96h","1/2 TSA","+ FeCl3","96h","Marissa"
"77","Chryseobacterium_SCH11","Burkholderia_RCH25",0,"Chryseobacterium_SCH11","Burkholderia_RCH25","1/2 TSA + Fe, 96h","1/2 TSA","+ FeCl3","96h","Marissa"
"78","Chryseobacterium_SCH11","Streptomyces_RCH20P",0,"Chryseobacterium_SCH11","Streptomyces_RCH20P","1/2 TSA + Fe, 96h","1/2 TSA","+ FeCl3","96h","Marissa"
"79","Chryseobacterium_SCH11","Variovax_RPC5",0,"Chryseobacterium_SCH11","Variovax_RPC5","1/2 TSA + Fe, 96h","1/2 TSA","+ FeCl3","96h","Marissa"
"80","Chryseobacterium_SCH11","Methylobacterium_RPE3",0,"Chryseobacterium_SCH11","Methylobacterium_RPE3","1/2 TSA + Fe, 96h","1/2 TSA","+ FeCl3","96h","Marissa"
"81","Chryseobacterium_SCH11","Chryseobacterium_SCH11",0,"Chryseobacterium_SCH11","Chryseobacterium_SCH11","1/2 TSA + Fe, 96h","1/2 TSA","+ FeCl3","96h","Marissa"
"82","Chryseobacterium_SCH11","Dyadobacter_BM9",0,"Chryseobacterium_SCH11","Dyadobacter_BM9","1/2 TSA + Fe, 96h","1/2 TSA","+ FeCl3","96h","Marissa"
"83","Chryseobacterium_SCH11","Exiguobacterium_RDH25",0,"Chryseobacterium_SCH11","Exiguobacterium_RDH25","1/2 TSA + Fe, 96h","1/2 TSA","+ FeCl3","96h","Marissa"
"84","Chryseobacterium_SCH11","Bacillus_SCH24",-1,"Chryseobacterium_SCH11","Bacillus_SCH24","1/2 TSA + Fe, 96h","1/2 TSA","+ FeCl3","96h","Marissa"
"85","Chryseobacterium_SCH11","Paenibacillus_E12",1,"Chryseobacterium_SCH11","Paenibacillus_E12","1/2 TSA + Fe, 96h","1/2 TSA","+ FeCl3","96h","Marissa"
"86","Chryseobacterium_SCH11","Sphingobium_Z2",0,"Chryseobacterium_SCH11","Sphingobium_Z2","1/2 TSA + Fe, 96h","1/2 TSA","+ FeCl3","96h","Marissa"
"87","Chryseobacterium_SCH11","Cellulosimicrobium_BM1",0,"Chryseobacterium_SCH11","Cellulosimicrobium_BM1","1/2 TSA + Fe, 96h","1/2 TSA","+ FeCl3","96h","Marissa"
"88","Chryseobacterium_SCH11","Microbacterium_BM4",0,"Chryseobacterium_SCH11","Microbacterium_BM4","1/2 TSA + Fe, 96h","1/2 TSA","+ FeCl3","96h","Marissa"
"89","Chryseobacterium_SCH11","Luteibacter_BM7",0,"Chryseobacterium_SCH11","Luteibacter_BM7","1/2 TSA + Fe, 96h","1/2 TSA","+ FeCl3","96h","Marissa"
"90","Chryseobacterium_SCH11","Ensifer_sp",0,"Chryseobacterium_SCH11","Ensifer_sp","1/2 TSA + Fe, 96h","1/2 TSA","+ FeCl3","96h","Marissa"
"91","Dyadobacter_BM9","Pseudomonas_putida_KT2442",0,"Dyadobacter_BM9","Pseudomonas_putida_KT2442","1/2 TSA + Fe, 96h","1/2 TSA","+ FeCl3","96h","Marissa"
"92","Dyadobacter_BM9","Burkholderia_RCH25",-2,"Dyadobacter_BM9","Burkholderia_RCH25","1/2 TSA + Fe, 96h","1/2 TSA","+ FeCl3","96h","Marissa"
"93","Dyadobacter_BM9","Streptomyces_RCH20P",-3,"Dyadobacter_BM9","Streptomyces_RCH20P","1/2 TSA + Fe, 96h","1/2 TSA","+ FeCl3","96h","Marissa"
"94","Dyadobacter_BM9","Variovax_RPC5",2,"Dyadobacter_BM9","Variovax_RPC5","1/2 TSA + Fe, 96h","1/2 TSA","+ FeCl3","96h","Marissa"
"95","Dyadobacter_BM9","Methylobacterium_RPE3",0,"Dyadobacter_BM9","Methylobacterium_RPE3","1/2 TSA + Fe, 96h","1/2 TSA","+ FeCl3","96h","Marissa"
"96","Dyadobacter_BM9","Chryseobacterium_SCH11",0,"Dyadobacter_BM9","Chryseobacterium_SCH11","1/2 TSA + Fe, 96h","1/2 TSA","+ FeCl3","96h","Marissa"
"97","Dyadobacter_BM9","Dyadobacter_BM9",0,"Dyadobacter_BM9","Dyadobacter_BM9","1/2 TSA + Fe, 96h","1/2 TSA","+ FeCl3","96h","Marissa"
"98","Dyadobacter_BM9","Exiguobacterium_RDH25",0,"Dyadobacter_BM9","Exiguobacterium_RDH25","1/2 TSA + Fe, 96h","1/2 TSA","+ FeCl3","96h","Marissa"
"99","Dyadobacter_BM9","Bacillus_SCH24",0,"Dyadobacter_BM9","Bacillus_SCH24","1/2 TSA + Fe, 96h","1/2 TSA","+ FeCl3","96h","Marissa"
"100","Dyadobacter_BM9","Paenibacillus_E12",-3,"Dyadobacter_BM9","Paenibacillus_E12","1/2 TSA + Fe, 96h","1/2 TSA","+ FeCl3","96h","Marissa"
"101","Dyadobacter_BM9","Sphingobium_Z2",1,"Dyadobacter_BM9","Sphingobium_Z2","1/2 TSA + Fe, 96h","1/2 TSA","+ FeCl3","96h","Marissa"
"102","Dyadobacter_BM9","Cellulosimicrobium_BM1",0,"Dyadobacter_BM9","Cellulosimicrobium_BM1","1/2 TSA + Fe, 96h","1/2 TSA","+ FeCl3","96h","Marissa"
"103","Dyadobacter_BM9","Microbacterium_BM4",0,"Dyadobacter_BM9","Microbacterium_BM4","1/2 TSA + Fe, 96h","1/2 TSA","+ FeCl3","96h","Marissa"
"104","Dyadobacter_BM9","Luteibacter_BM7",0,"Dyadobacter_BM9","Luteibacter_BM7","1/2 TSA + Fe, 96h","1/2 TSA","+ FeCl3","96h","Marissa"
"105","Dyadobacter_BM9","Ensifer_sp",0,"Dyadobacter_BM9","Ensifer_sp","1/2 TSA + Fe, 96h","1/2 TSA","+ FeCl3","96h","Marissa"
"106","Exiguobacterium_RDH25","Pseudomonas_putida_KT2442",1,"Exiguobacterium_RDH25","Pseudomonas_putida_KT2442","1/2 TSA + Fe, 96h","1/2 TSA","+ FeCl3","96h","Marissa"
"107","Exiguobacterium_RDH25","Burkholderia_RCH25",0,"Exiguobacterium_RDH25","Burkholderia_RCH25","1/2 TSA + Fe, 96h","1/2 TSA","+ FeCl3","96h","Marissa"
"108","Exiguobacterium_RDH25","Streptomyces_RCH20P",-2,"Exiguobacterium_RDH25","Streptomyces_RCH20P","1/2 TSA + Fe, 96h","1/2 TSA","+ FeCl3","96h","Marissa"
"109","Exiguobacterium_RDH25","Variovax_RPC5",0,"Exiguobacterium_RDH25","Variovax_RPC5","1/2 TSA + Fe, 96h","1/2 TSA","+ FeCl3","96h","Marissa"
"110","Exiguobacterium_RDH25","Methylobacterium_RPE3",0,"Exiguobacterium_RDH25","Methylobacterium_RPE3","1/2 TSA + Fe, 96h","1/2 TSA","+ FeCl3","96h","Marissa"
