,Strain_ID,name,value,Lawn,Spot,MediaTime,Media,Time,TrialFinal
129,Bacillus_SCH24,Bacillus_SCH24,0,Bacillus_SCH24,Bacillus_SCH24,R2A-96h,R2A,96h,Trial
127,Bacillus_SCH24,Burkholderia_RCH25,-3,Bacillus_SCH24,Burkholderia_RCH25,R2A-96h,R2A,96h,Trial
130,Bacillus_SCH24,Cellulosimicrobium_BM1,0,Bacillus_SCH24,Cellulosimicrobium_BM1,R2A-96h,R2A,96h,Trial
134,Bacillus_SCH24,Chryseobacterium_SCH11,0,Bacillus_SCH24,Chryseobacterium_SCH11,R2A-96h,R2A,96h,Trial
133,Bacillus_SCH24,Dyadobacter_BM9,0,Bacillus_SCH24,Dyadobacter_BM9,R2A-96h,R2A,96h,Trial
123,Bacillus_SCH24,Ensifer_sp,0,Bacillus_SCH24,Ensifer_sp,R2A-96h,R2A,96h,Trial
128,Bacillus_SCH24,Exiguobacterium_RDH25,0,Bacillus_SCH24,Exiguobacterium_RDH25,R2A-96h,R2A,96h,Trial
132,Bacillus_SCH24,Luteibacter_BM7,0,Bacillus_SCH24,Luteibacter_BM7,R2A-96h,R2A,96h,Trial
126,Bacillus_SCH24,Massilia_sp,0,Bacillus_SCH24,Massilia_sp,R2A-96h,R2A,96h,Trial
135,Bacillus_SCH24,Methylobacterium_RPE3,0,Bacillus_SCH24,Methylobacterium_RPE3,R2A-96h,R2A,96h,Trial
131,Bacillus_SCH24,Microbacterium_BM4,0,Bacillus_SCH24,Microbacterium_BM4,R2A-96h,R2A,96h,Trial
121,Bacillus_SCH24,Pseudomonas_putida_KT2442,-1,Bacillus_SCH24,Pseudomonas_putida_KT2442,R2A-96h,R2A,96h,Trial
124,Bacillus_SCH24,Sphingobium_Z2,0,Bacillus_SCH24,Sphingobium_Z2,R2A-96h,R2A,96h,Trial
122,Bacillus_SCH24,Streptomyces_RCH20P,-5,Bacillus_SCH24,Streptomyces_RCH20P,R2A-96h,R2A,96h,Trial
125,Bacillus_SCH24,Variovax_RPC5,0,Bacillus_SCH24,Variovax_RPC5,R2A-96h,R2A,96h,Trial
99,Burkholderia_RCH25,Bacillus_SCH24,0,Burkholderia_RCH25,Bacillus_SCH24,R2A-96h,R2A,96h,Trial
97,Burkholderia_RCH25,Burkholderia_RCH25,0,Burkholderia_RCH25,Burkholderia_RCH25,R2A-96h,R2A,96h,Trial
100,Burkholderia_RCH25,Cellulosimicrobium_BM1,0,Burkholderia_RCH25,Cellulosimicrobium_BM1,R2A-96h,R2A,96h,Trial
104,Burkholderia_RCH25,Chryseobacterium_SCH11,0,Burkholderia_RCH25,Chryseobacterium_SCH11,R2A-96h,R2A,96h,Trial
103,Burkholderia_RCH25,Dyadobacter_BM9,0,Burkholderia_RCH25,Dyadobacter_BM9,R2A-96h,R2A,96h,Trial
93,Burkholderia_RCH25,Ensifer_sp,0,Burkholderia_RCH25,Ensifer_sp,R2A-96h,R2A,96h,Trial
98,Burkholderia_RCH25,Exiguobacterium_RDH25,0,Burkholderia_RCH25,Exiguobacterium_RDH25,R2A-96h,R2A,96h,Trial
102,Burkholderia_RCH25,Luteibacter_BM7,0,Burkholderia_RCH25,Luteibacter_BM7,R2A-96h,R2A,96h,Trial
96,Burkholderia_RCH25,Massilia_sp,0,Burkholderia_RCH25,Massilia_sp,R2A-96h,R2A,96h,Trial
105,Burkholderia_RCH25,Methylobacterium_RPE3,0,Burkholderia_RCH25,Methylobacterium_RPE3,R2A-96h,R2A,96h,Trial
101,Burkholderia_RCH25,Microbacterium_BM4,0,Burkholderia_RCH25,Microbacterium_BM4,R2A-96h,R2A,96h,Trial
91,Burkholderia_RCH25,Pseudomonas_putida_KT2442,-2,Burkholderia_RCH25,Pseudomonas_putida_KT2442,R2A-96h,R2A,96h,Trial
94,Burkholderia_RCH25,Sphingobium_Z2,0,Burkholderia_RCH25,Sphingobium_Z2,R2A-96h,R2A,96h,Trial
92,Burkholderia_RCH25,Streptomyces_RCH20P,0,Burkholderia_RCH25,Streptomyces_RCH20P,R2A-96h,R2A,96h,Trial
95,Burkholderia_RCH25,Variovax_RPC5,0,Burkholderia_RCH25,Variovax_RPC5,R2A-96h,R2A,96h,Trial
144,Cellulosimicrobium_BM1,Bacillus_SCH24,0,Cellulosimicrobium_BM1,Bacillus_SCH24,R2A-96h,R2A,96h,Trial
142,Cellulosimicrobium_BM1,Burkholderia_RCH25,-4,Cellulosimicrobium_BM1,Burkholderia_RCH25,R2A-96h,R2A,96h,Trial
145,Cellulosimicrobium_BM1,Cellulosimicrobium_BM1,0,Cellulosimicrobium_BM1,Cellulosimicrobium_BM1,R2A-96h,R2A,96h,Trial
149,Cellulosimicrobium_BM1,Chryseobacterium_SCH11,0,Cellulosimicrobium_BM1,Chryseobacterium_SCH11,R2A-96h,R2A,96h,Trial
148,Cellulosimicrobium_BM1,Dyadobacter_BM9,0,Cellulosimicrobium_BM1,Dyadobacter_BM9,R2A-96h,R2A,96h,Trial
138,Cellulosimicrobium_BM1,Ensifer_sp,0,Cellulosimicrobium_BM1,Ensifer_sp,R2A-96h,R2A,96h,Trial
143,Cellulosimicrobium_BM1,Exiguobacterium_RDH25,0,Cellulosimicrobium_BM1,Exiguobacterium_RDH25,R2A-96h,R2A,96h,Trial
147,Cellulosimicrobium_BM1,Luteibacter_BM7,0,Cellulosimicrobium_BM1,Luteibacter_BM7,R2A-96h,R2A,96h,Trial
141,Cellulosimicrobium_BM1,Massilia_sp,0,Cellulosimicrobium_BM1,Massilia_sp,R2A-96h,R2A,96h,Trial
150,Cellulosimicrobium_BM1,Methylobacterium_RPE3,0,Cellulosimicrobium_BM1,Methylobacterium_RPE3,R2A-96h,R2A,96h,Trial
146,Cellulosimicrobium_BM1,Microbacterium_BM4,0,Cellulosimicrobium_BM1,Microbacterium_BM4,R2A-96h,R2A,96h,Trial
136,Cellulosimicrobium_BM1,Pseudomonas_putida_KT2442,0,Cellulosimicrobium_BM1,Pseudomonas_putida_KT2442,R2A-96h,R2A,96h,Trial
139,Cellulosimicrobium_BM1,Sphingobium_Z2,0,Cellulosimicrobium_BM1,Sphingobium_Z2,R2A-96h,R2A,96h,Trial
137,Cellulosimicrobium_BM1,Streptomyces_RCH20P,-4,Cellulosimicrobium_BM1,Streptomyces_RCH20P,R2A-96h,R2A,96h,Trial
140,Cellulosimicrobium_BM1,Variovax_RPC5,0,Cellulosimicrobium_BM1,Variovax_RPC5,R2A-96h,R2A,96h,Trial
204,Chryseobacterium_SCH11,Bacillus_SCH24,-2,Chryseobacterium_SCH11,Bacillus_SCH24,R2A-96h,R2A,96h,Trial
202,Chryseobacterium_SCH11,Burkholderia_RCH25,-2,Chryseobacterium_SCH11,Burkholderia_RCH25,R2A-96h,R2A,96h,Trial
205,Chryseobacterium_SCH11,Cellulosimicrobium_BM1,0,Chryseobacterium_SCH11,Cellulosimicrobium_BM1,R2A-96h,R2A,96h,Trial
209,Chryseobacterium_SCH11,Chryseobacterium_SCH11,0,Chryseobacterium_SCH11,Chryseobacterium_SCH11,R2A-96h,R2A,96h,Trial
208,Chryseobacterium_SCH11,Dyadobacter_BM9,0,Chryseobacterium_SCH11,Dyadobacter_BM9,R2A-96h,R2A,96h,Trial
198,Chryseobacterium_SCH11,Ensifer_sp,0,Chryseobacterium_SCH11,Ensifer_sp,R2A-96h,R2A,96h,Trial
203,Chryseobacterium_SCH11,Exiguobacterium_RDH25,-2,Chryseobacterium_SCH11,Exiguobacterium_RDH25,R2A-96h,R2A,96h,Trial
207,Chryseobacterium_SCH11,Luteibacter_BM7,0,Chryseobacterium_SCH11,Luteibacter_BM7,R2A-96h,R2A,96h,Trial
201,Chryseobacterium_SCH11,Massilia_sp,0,Chryseobacterium_SCH11,Massilia_sp,R2A-96h,R2A,96h,Trial
210,Chryseobacterium_SCH11,Methylobacterium_RPE3,0,Chryseobacterium_SCH11,Methylobacterium_RPE3,R2A-96h,R2A,96h,Trial
206,Chryseobacterium_SCH11,Microbacterium_BM4,0,Chryseobacterium_SCH11,Microbacterium_BM4,R2A-96h,R2A,96h,Trial
196,Chryseobacterium_SCH11,Pseudomonas_putida_KT2442,-2,Chryseobacterium_SCH11,Pseudomonas_putida_KT2442,R2A-96h,R2A,96h,Trial
199,Chryseobacterium_SCH11,Sphingobium_Z2,0,Chryseobacterium_SCH11,Sphingobium_Z2,R2A-96h,R2A,96h,Trial
197,Chryseobacterium_SCH11,Streptomyces_RCH20P,0,Chryseobacterium_SCH11,Streptomyces_RCH20P,R2A-96h,R2A,96h,Trial
200,Chryseobacterium_SCH11,Variovax_RPC5,0,Chryseobacterium_SCH11,Variovax_RPC5,R2A-96h,R2A,96h,Trial
189,Dyadobacter_BM9,Bacillus_SCH24,0,Dyadobacter_BM9,Bacillus_SCH24,R2A-96h,R2A,96h,Trial
187,Dyadobacter_BM9,Burkholderia_RCH25,-4,Dyadobacter_BM9,Burkholderia_RCH25,R2A-96h,R2A,96h,Trial
190,Dyadobacter_BM9,Cellulosimicrobium_BM1,0,Dyadobacter_BM9,Cellulosimicrobium_BM1,R2A-96h,R2A,96h,Trial
194,Dyadobacter_BM9,Chryseobacterium_SCH11,0,Dyadobacter_BM9,Chryseobacterium_SCH11,R2A-96h,R2A,96h,Trial
193,Dyadobacter_BM9,Dyadobacter_BM9,0,Dyadobacter_BM9,Dyadobacter_BM9,R2A-96h,R2A,96h,Trial
183,Dyadobacter_BM9,Ensifer_sp,0,Dyadobacter_BM9,Ensifer_sp,R2A-96h,R2A,96h,Trial
188,Dyadobacter_BM9,Exiguobacterium_RDH25,0,Dyadobacter_BM9,Exiguobacterium_RDH25,R2A-96h,R2A,96h,Trial
192,Dyadobacter_BM9,Luteibacter_BM7,0,Dyadobacter_BM9,Luteibacter_BM7,R2A-96h,R2A,96h,Trial
186,Dyadobacter_BM9,Massilia_sp,0,Dyadobacter_BM9,Massilia_sp,R2A-96h,R2A,96h,Trial
195,Dyadobacter_BM9,Methylobacterium_RPE3,0,Dyadobacter_BM9,Methylobacterium_RPE3,R2A-96h,R2A,96h,Trial
191,Dyadobacter_BM9,Microbacterium_BM4,0,Dyadobacter_BM9,Microbacterium_BM4,R2A-96h,R2A,96h,Trial
181,Dyadobacter_BM9,Pseudomonas_putida_KT2442,0,Dyadobacter_BM9,Pseudomonas_putida_KT2442,R2A-96h,R2A,96h,Trial
184,Dyadobacter_BM9,Sphingobium_Z2,0,Dyadobacter_BM9,Sphingobium_Z2,R2A-96h,R2A,96h,Trial
182,Dyadobacter_BM9,Streptomyces_RCH20P,-5,Dyadobacter_BM9,Streptomyces_RCH20P,R2A-96h,R2A,96h,Trial
185,Dyadobacter_BM9,Variovax_RPC5,-5,Dyadobacter_BM9,Variovax_RPC5,R2A-96h,R2A,96h,Trial
39,Ensifer_sp,Bacillus_SCH24,-5,Ensifer_sp,Bacillus_SCH24,R2A-96h,R2A,96h,Trial
37,Ensifer_sp,Burkholderia_RCH25,-4,Ensifer_sp,Burkholderia_RCH25,R2A-96h,R2A,96h,Trial
40,Ensifer_sp,Cellulosimicrobium_BM1,0,Ensifer_sp,Cellulosimicrobium_BM1,R2A-96h,R2A,96h,Trial
44,Ensifer_sp,Chryseobacterium_SCH11,0,Ensifer_sp,Chryseobacterium_SCH11,R2A-96h,R2A,96h,Trial
43,Ensifer_sp,Dyadobacter_BM9,0,Ensifer_sp,Dyadobacter_BM9,R2A-96h,R2A,96h,Trial
33,Ensifer_sp,Ensifer_sp,0,Ensifer_sp,Ensifer_sp,R2A-96h,R2A,96h,Trial
38,Ensifer_sp,Exiguobacterium_RDH25,0,Ensifer_sp,Exiguobacterium_RDH25,R2A-96h,R2A,96h,Trial
42,Ensifer_sp,Luteibacter_BM7,0,Ensifer_sp,Luteibacter_BM7,R2A-96h,R2A,96h,Trial
36,Ensifer_sp,Massilia_sp,0,Ensifer_sp,Massilia_sp,R2A-96h,R2A,96h,Trial
45,Ensifer_sp,Methylobacterium_RPE3,0,Ensifer_sp,Methylobacterium_RPE3,R2A-96h,R2A,96h,Trial
41,Ensifer_sp,Microbacterium_BM4,0,Ensifer_sp,Microbacterium_BM4,R2A-96h,R2A,96h,Trial
31,Ensifer_sp,Pseudomonas_putida_KT2442,-3,Ensifer_sp,Pseudomonas_putida_KT2442,R2A-96h,R2A,96h,Trial
34,Ensifer_sp,Sphingobium_Z2,0,Ensifer_sp,Sphingobium_Z2,R2A-96h,R2A,96h,Trial
32,Ensifer_sp,Streptomyces_RCH20P,0,Ensifer_sp,Streptomyces_RCH20P,R2A-96h,R2A,96h,Trial
35,Ensifer_sp,Variovax_RPC5,-5,Ensifer_sp,Variovax_RPC5,R2A-96h,R2A,96h,Trial
114,Exiguobacterium_RDH25,Bacillus_SCH24,-3,Exiguobacterium_RDH25,Bacillus_SCH24,R2A-96h,R2A,96h,Trial
112,Exiguobacterium_RDH25,Burkholderia_RCH25,-1,Exiguobacterium_RDH25,Burkholderia_RCH25,R2A-96h,R2A,96h,Trial
115,Exiguobacterium_RDH25,Cellulosimicrobium_BM1,0,Exiguobacterium_RDH25,Cellulosimicrobium_BM1,R2A-96h,R2A,96h,Trial
119,Exiguobacterium_RDH25,Chryseobacterium_SCH11,0,Exiguobacterium_RDH25,Chryseobacterium_SCH11,R2A-96h,R2A,96h,Trial
118,Exiguobacterium_RDH25,Dyadobacter_BM9,0,Exiguobacterium_RDH25,Dyadobacter_BM9,R2A-96h,R2A,96h,Trial
108,Exiguobacterium_RDH25,Ensifer_sp,0,Exiguobacterium_RDH25,Ensifer_sp,R2A-96h,R2A,96h,Trial
113,Exiguobacterium_RDH25,Exiguobacterium_RDH25,0,Exiguobacterium_RDH25,Exiguobacterium_RDH25,R2A-96h,R2A,96h,Trial
117,Exiguobacterium_RDH25,Luteibacter_BM7,0,Exiguobacterium_RDH25,Luteibacter_BM7,R2A-96h,R2A,96h,Trial
111,Exiguobacterium_RDH25,Massilia_sp,0,Exiguobacterium_RDH25,Massilia_sp,R2A-96h,R2A,96h,Trial
120,Exiguobacterium_RDH25,Methylobacterium_RPE3,0,Exiguobacterium_RDH25,Methylobacterium_RPE3,R2A-96h,R2A,96h,Trial
116,Exiguobacterium_RDH25,Microbacterium_BM4,0,Exiguobacterium_RDH25,Microbacterium_BM4,R2A-96h,R2A,96h,Trial
106,Exiguobacterium_RDH25,Pseudomonas_putida_KT2442,-2,Exiguobacterium_RDH25,Pseudomonas_putida_KT2442,R2A-96h,R2A,96h,Trial
109,Exiguobacterium_RDH25,Sphingobium_Z2,-1,Exiguobacterium_RDH25,Sphingobium_Z2,R2A-96h,R2A,96h,Trial
107,Exiguobacterium_RDH25,Streptomyces_RCH20P,0,Exiguobacterium_RDH25,Streptomyces_RCH20P,R2A-96h,R2A,96h,Trial
110,Exiguobacterium_RDH25,Variovax_RPC5,0,Exiguobacterium_RDH25,Variovax_RPC5,R2A-96h,R2A,96h,Trial
174,Luteibacter_BM7,Bacillus_SCH24,-4,Luteibacter_BM7,Bacillus_SCH24,R2A-96h,R2A,96h,Trial
172,Luteibacter_BM7,Burkholderia_RCH25,-2,Luteibacter_BM7,Burkholderia_RCH25,R2A-96h,R2A,96h,Trial
175,Luteibacter_BM7,Cellulosimicrobium_BM1,0,Luteibacter_BM7,Cellulosimicrobium_BM1,R2A-96h,R2A,96h,Trial
179,Luteibacter_BM7,Chryseobacterium_SCH11,0,Luteibacter_BM7,Chryseobacterium_SCH11,R2A-96h,R2A,96h,Trial
178,Luteibacter_BM7,Dyadobacter_BM9,0,Luteibacter_BM7,Dyadobacter_BM9,R2A-96h,R2A,96h,Trial
168,Luteibacter_BM7,Ensifer_sp,0,Luteibacter_BM7,Ensifer_sp,R2A-96h,R2A,96h,Trial
